,Word,Rank_by_remaining words,Unique_letters,Score_by_frequency,Score_by_position,Calculated_Score
0,slate,38.71612903225807,5,166.5,58.17324414715719,1250.8798519644718
1,shale,39.94117647058823,5,153.4230769230769,56.9009364548495,1092.846721369862
2,stale,42.38095238095238,5,166.5,54.32401337792642,1067.1006335725829
3,crane,41.854166666666664,5,160.1153846153846,55.711705685618725,1065.6407585981426
4,crate,42.586666666666666,5,166.03846153846155,53.991705685618726,1052.5242346443574
5,suite,38.97727272727273,5,144.96153846153845,56.019397993311046,1041.7170762075275
6,slice,39.74603174603175,5,144.96153846153845,57.11632107023411,1041.5718764717897
7,trace,41.97402597402598,5,166.03846153846155,52.55170568561873,1039.405222727701
8,saute,42.90769230769231,5,156.80769230769232,56.67324414715719,1035.5719630152378
9,saint,37.28148148148148,5,139.34615384615384,54.84307692307692,1024.9286684215538
10,share,44.61832061068702,5,160.34615384615384,56.500936454849494,1015.2452765188868
11,snare,45.093525179856115,5,167.5,54.3086287625418,1008.6476142022012
12,sauce,41.760330578512395,5,147.11538461538458,57.19324414715719,1007.4161283627403
13,spare,42.30281690140845,5,159.5,53.3086287625418,1004.983463328458
14,shine,38.523809523809526,5,136.03846153846155,56.12401337792642,990.9487833203956
15,scale,42.94776119402985,5,156.80769230769232,52.9009364548495,965.7399519528326
16,saner,46.66423357664234,5,167.5,53.61585284280937,962.2632434775285
17,shire,42.60629921259842,5,148.5,54.92401337792643,957.1608115884344
18,slant,38.96992481203007,5,141.1923076923077,52.45846153846154,950.3137712389276
19,crone,42.52985074626866,5,151.46153846153845,53.288628762541805,948.8838490208542
20,stare,49.345588235294116,5,173.42307692307693,53.924013377926414,947.5688358855596
21,plate,40.25,5,154.88461538461536,49.21324414715719,946.8788064051695
22,plane,40.06428571428572,5,148.96153846153845,50.9332441471572,946.8650534673523
23,space,40.39370078740158,5,143.26923076923077,53.3086287625418,945.3808498965161
24,since,39.031007751937985,5,139.4230769230769,52.27016722408027,933.5740947276959
25,spree,39.52147239263804,4,169.26923076923077,54.41016722408027,932.1481811756477
26,blare,43.45,5,158.1153846153846,50.97324414715719,927.4630728908701
27,snore,44.45522388059702,5,158.84615384615384,51.88555183946488,926.9799621323541
28,brace,43.05384615384615,5,148.80769230769232,53.51170568561872,924.7667915743206
29,parse,42.277027027027025,5,159.5,48.91632107023412,922.7414697010921
30,poise,39.976377952755904,5,142.07692307692307,51.91632107023412,922.558712528882
31,shore,44.512,5,151.69230769230768,54.077859531772575,921.4588546274082
32,spite,39.24812030075188,5,141.11538461538464,51.211705685618725,920.6504017591799
33,spire,41.507462686567166,5,147.65384615384616,51.731705685618735,920.1219272615725
34,trice,42.927536231884055,5,154.19230769230768,50.97478260869565,915.4868942502466
35,place,39.471014492753625,5,145.19230769230768,49.733244147157194,914.7072325790322
36,shone,42.29059829059829,5,139.23076923076923,55.27785953177258,909.9397047014705
37,price,39.28148148148148,5,140.26923076923077,50.69478260869565,905.1234694250809
38,spine,39.766129032258064,5,135.19230769230768,52.931705685618724,899.7555980271507
39,salty,39.173228346456696,5,135.42307692307693,52.02608695652174,899.2790578309608
40,prose,42.46268656716418,5,150.84615384615384,50.60862876254181,898.9206309617522
41,raise,49.06015037593985,5,171.19230769230768,51.39785953177258,896.7479834717751
42,slope,41.885245901639344,5,143.9230769230769,52.19016722408027,896.6605412391245
43,flare,43.34057971014493,5,156.15384615384616,49.493244147157185,891.6078746405035
44,spice,38.193548387096776,5,131.4230769230769,51.731705685618735,890.0377449585069
45,spore,43.19847328244275,5,150.84615384615384,50.88555183946488,888.4445673734127
46,shape,41.413223140495866,5,139.88461538461536,52.420936454849496,885.3310582963941
47,shade,42.42372881355932,5,140.88461538461536,53.1809364548495,883.0406930001467
48,store,48.053030303030305,5,164.76923076923077,51.500936454849494,882.958850882861
49,scare,48.77952755905512,5,163.73076923076923,52.500936454849494,881.1092625570674
50,stole,46.62096774193548,5,157.84615384615387,51.9009364548495,878.6135935400814
51,brine,42.576,5,140.73076923076923,53.134782608695645,878.1589192774612
52,trade,45.808510638297875,5,162.80769230769232,49.231705685618735,874.8702238253898
53,siren,41.87323943661972,5,155.65384615384616,47.050635451505016,874.4979455308737
54,sleet,42.72560975609756,4,176.26923076923077,52.89846153846154,872.9538258191512
55,slime,42.92173913043478,5,138.76923076923077,53.75632107023411,868.9912705110623
56,smile,40.97540983606557,5,138.76923076923077,51.24709030100334,867.7789104103301
57,chase,42.032,5,144.11538461538458,50.5409364548495,866.450144653163
58,clone,42.357142857142854,5,144.53846153846155,50.75016722408027,865.8930464370578
59,borne,41.33587786259542,5,143.9230769230769,49.63478260869565,864.0908340204497
60,stone,46.47933884297521,5,152.30769230769232,52.7009364548495,863.4759243252026
61,slave,45.64601769911504,5,144.34615384615387,54.45324414715719,860.9859910342318
62,arise,51.26923076923077,5,171.19230769230768,51.41478260869566,858.3915881144201
63,canoe,43.84615384615385,5,154.53846153846155,48.67324414715719,857.7591885231474
64,swine,39.25833333333333,5,128.57692307692307,52.27785953177258,856.0891093580444
65,prone,43.90551181102362,5,147.23076923076923,51.04862876254181,855.9208822385181
